path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
robustness/data/pae/P32328_metadata.json,2840,9246910e6234b6e1b6cc210e40ead49425dbac7bf53c7298187bf0a4412d0ab6,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32328,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32328_v6_pae.json.gz,137497,4f97ab2c554b4552fb813388754b2cc8e45206c955a975ea1597688f814b8dba,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32328-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P32485_metadata.json,2580,d03c8e8e3140624799af9204c2d792b5b60bbccdaa83c949574f68ef7df754d3,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32485,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32485_v6_pae.json.gz,66618,a5735867b4604c2475c9d6feaca76649e8dc1767db397708911340745b4b8a37,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32485-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P32490_metadata.json,2716,aadfc5fd74605bdec11ff266f3b9369e85bfb49a3198e180e780d263acb1d258,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32490,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32490_v6_pae.json.gz,95674,4472d9e12bcc98c3bc128accebc711ece33f805807a58377b86cf19251e3de45,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32490-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P32561_metadata.json,2562,2487d57a5a1f1e8ac42e50a9f584a461b0db114e6db406c77fbedfb7e9c50731,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32561,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32561_v6_pae.json.gz,47980,b12557111eb4a17da0e4339afa3c53facffbebf8e931b81059f1108bd571d78e,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32561-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P32801_metadata.json,2989,b12b971f86e5a2d7f5e35c69164bc609b84c9ec68a19d5fd24138a6435b58cce,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P32801,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P32801_v6_pae.json.gz,140951,9821ea3c964d8189d3f54267b1faa1fda2e005f116a92680d753ed9cf4b66607,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P32801-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P37263_metadata.json,2009,e89d25741fc76f888a17b9a21e8d6397abfa0c9432b9bd06553a18fc9716dae6,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P37263,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
